title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
VIP cottage Vernieuwd,€449,€659,4 pers.,2 Slaapkamers,Van wo. 7 tot vr. 9 jun.,55m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:19",210,31
Premium cottage Vernieuwd,€499,€819,8 pers.,4 Slaapkamers,Van wo. 7 tot vr. 9 jun.,96 m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:20",320,39
Avontuur cottage,€499,€819,4 pers.,2 Slaapkamers,Van za. 3 tot ma. 5 jun.,59 m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:21",320,39
Woonboot,€529,€949,4 pers.,2 Slaapkamers,Van do. 1 tot za. 3 jun.,75 m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:21",420,44
VIP cottage Vernieuwd,€539,€719,6 pers.,3 Slaapkamers,Van ma. 5 tot wo. 7 jun.,96 m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:22",180,25
Premium cottage Vernieuwd,€579,€779,10 pers.,5 Slaapkamers,Van wo. 7 tot vr. 9 jun.,93m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:23",200,25
Woonboot,€609,€789,4 pers.,2 Slaapkamers,Van di. 27 tot vr. 30 jun.,75 m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:23",180,22
Premium Eden cottage Vernieuwd,€659,€929,8 pers.,4 Slaapkamers,Van ma. 19 tot do. 22 jun.,119m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:24",270,29
VIP Eden cottage Vernieuwd,€739,€1189,6 pers.,3 Slaapkamers,Van do. 1 tot za. 3 jun.,95m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:24",450,37
VIP Eden cottage Vernieuwd,€739,€1399,6 pers.,3 Slaapkamers,Van do. 1 tot za. 3 jun.,95 m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:25",660,47
Premium Eden cottage Vernieuwd,€829,€899,6 pers.,3 Slaapkamers,Van do. 1 tot za. 3 jun.,96m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:26",70,7
VIP Eden cottage Vernieuwd,€849,€1209,8 pers.,4 Slaapkamers,Van di. 20 tot vr. 23 jun.,119m2,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:27",360,29
Wellness cottage,€1379,€2199,4 pers.,2 Slaapkamers,Van vr. 7 tot ma. 10 jul.,100m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:28",820,37
VIP Eden cottage Vernieuwd,€1264,€1579,12 pers.,6 Slaapkamers,Van wo. 5 tot vr. 7 jun. 2024,190 m²,"Nederland, Noord-Brabant, Westerhoven",De Kempervennen,"01-06-2023, 13:41:28",315,19
Comfort cottage Vernieuwd,€339,€479,4 pers.,2 Slaapkamers,Van ma. 19 tot wo. 21 jun.,64 m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 13:41:29",140,29
Comfort cottage Vernieuwd,€379,€509,6 pers.,3 Slaapkamers,Van di. 27 tot do. 29 jun.,75 m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 13:41:30",130,25
VIP cottage Vernieuwd,€429,€639,4 pers.,2 Slaapkamers,Van di. 13 tot do. 15 jun.,75 m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 13:41:31",210,32
Avontuur cottage,€469,€649,4 pers.,2 Slaapkamers,Van ma. 19 tot wo. 21 jun.,75 m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 13:41:31",180,27
Avontuur cottage,€479,€719,6 pers.,3 Slaapkamers,Van di. 13 tot do. 15 jun.,103m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 13:41:32",240,33
Premium cottage Vernieuwd,€479,€699,8 pers.,4 Slaapkamers,Van di. 13 tot do. 15 jun.,103m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 13:41:33",220,31
VIP Eden cottage Vernieuwd,€509,€779,4 pers.,2 Slaapkamers,Van wo. 28 tot vr. 30 jun.,89 m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 13:41:34",270,34
VIP cottage Vernieuwd,€539,€849,6 pers.,3 Slaapkamers,Van di. 13 tot do. 15 jun.,101m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 13:41:34",310,36
VIP Eden cottage Vernieuwd,€599,€1019,6 pers.,3 Slaapkamers,Van di. 13 tot do. 15 jun.,101m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 13:41:35",420,41
VIP Eden cottage Vernieuwd,€599,€1019,6 pers.,3 Slaapkamers,Van wo. 14 tot vr. 16 jun.,101m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 13:41:36",420,41
Premium cottage Vernieuwd,€719,€1049,10 pers.,5 Slaapkamers,Van wo. 14 tot vr. 16 jun.,150m²,"Nederland, Limburg Nederland, Heijen",Het Heijderbos,"01-06-2023, 13:41:36",330,31
Comfort cottage Vernieuwd,€379,€549,5 pers.,3 Slaapkamers,Van di. 20 tot do. 22 jun.,73m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:37",170,30
Comfort cottage Vernieuwd,€379,€519,4 pers.,2 Slaapkamers,Van ma. 5 tot wo. 7 jun.,67 m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:38",140,26
Comfort cottage Vernieuwd,€389,€789,6 pers.,3 Slaapkamers,Van wo. 21 tot vr. 23 jun.,"83,5m²","Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:39",400,50
Waterfrontsuite VIP Appartement,€399,€579,4 pers.,2 Slaapkamers,Van ma. 19 tot wo. 21 jun.,71m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:39",180,31
VIP cottage Vernieuwd,€419,€659,4 pers.,2 Slaapkamers,Van di. 20 tot do. 22 jun.,75m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:40",240,36
Waterfrontsuite VIP Appartement,€429,€729,6 pers.,3 Slaapkamers,Van wo. 21 tot vr. 23 jun.,94m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:41",300,41
Waterfrontsuite VIP Appartement,€479,€729,8 pers.,4 Slaapkamers,Van di. 13 tot do. 15 jun.,115m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:41",250,34
Premium cottage Vernieuwd,€479,€699,8 pers.,4 Slaapkamers,Van wo. 14 tot vr. 16 jun.,103m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:42",220,31
Avontuur cottage,€499,€679,6 pers.,3 Slaapkamers,Van di. 20 tot do. 22 jun.,73 m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:42",180,26
Woonboot,€539,€809,6 pers.,3 Slaapkamers,Van wo. 14 tot vr. 16 jun.,97 m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:43",270,33
Waterfrontsuite VIP Appartement,€719,€1079,12 pers.,6 Slaapkamers,Van ma. 12 tot wo. 14 jun.,162m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:44",360,33
Wellness cottage,€1099,€1389,4 pers.,2 Slaapkamers,Van za. 3 tot ma. 5 jun.,103m²,"Nederland, Flevoland, Zeewolde",De Eemhof,"01-06-2023, 13:41:45",290,20
