title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Comfort cottage Vernieuwd,€266,€369,4 pers.,2 Slaapkamers,Van wo. 14 tot vr. 16 jun.,62m²,"België, Limburg, Peer",Erperheide,"04-04-2023, 12:20:27",103,27
Premium cottage,€209,€289,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,59 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"04-04-2023, 12:20:27",80,27
Premium cottage,€229,€309,5 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,66 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"04-04-2023, 12:20:28",80,25
Comfort cottage,€169,€229,4 pers.,2 Slaapkamers,Van ma. 15 tot wo. 17 mei.,59 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"04-04-2023, 12:20:28",60,26
Comfort cottage,€179,€259,5 pers.,3 Slaapkamers,Van ma. 15 tot wo. 17 mei.,66 m²,"België, West-Vlaanderen, De Haan",Park De Haan,"04-04-2023, 12:20:28",80,30
Rolstoelvriendelijk VIP cottage,€522,€579,4 pers.,2 Slaapkamers,Van wo. 28 tot vr. 30 jun.,84 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"04-04-2023, 12:20:28",57,9
VIP cottage,€522,€579,4 pers.,2 Slaapkamers,Van ma. 26 tot wo. 28 jun.,77 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"04-04-2023, 12:20:29",57,9
Rolstoelvriendelijk VIP cottage,€579,€1469,6 pers.,3 Slaapkamers,Van di. 18 tot vr. 21 apr.,105 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"04-04-2023, 12:20:29",890,60
VIP cottage,€579,€1469,6 pers.,3 Slaapkamers,Van di. 18 tot vr. 21 apr.,98 m²,"België, Limburg, Dilsen-Stokkem",Terhills Resort,"04-04-2023, 12:20:29",890,60
Premium cottage Vernieuwd,€359,€439,6 pers.,3 Slaapkamers,Van ma. 22 tot wo. 24 mei.,75 m²,"België, Limburg, Lommel",De Vossemeren,"04-04-2023, 12:20:29",80,18
