title,new_price,old_price,amount_of_persons,bedroom,duration,surface,country,vacation_parc,timestamp,discount_in_euros,discount_in_percent
Premium cottage,€349,€569,6 pers.,3 Slaapkamers,Van wo. 21 tot vr. 23 jun.,77 m²,"Frankrijk, Normandië, Verneuil sur Avre et d’Iton",Les Bois-Francs,"25-05-2023, 11:27:22",220,38
Premium Pagode cottage,€279,€439,4 pers.,2 Slaapkamers,Van wo. 7 tot vr. 9 jun.,55 m²,"Frankrijk, Normandië, Verneuil sur Avre et d’Iton",Les Bois-Francs,"25-05-2023, 11:27:23",160,36
Premium cottage,€229,€359,4 pers.,2 Slaapkamers,Van wo. 7 tot vr. 9 jun.,64 m²,"Frankrijk, Sologne, Chaumont",Les Hauts de Bruyères,"25-05-2023, 11:27:23",130,36
Premium cottage,€259,€399,6 pers.,3 Slaapkamers,Van ma. 12 tot wo. 14 jun.,80 m²,"Frankrijk, Sologne, Chaumont",Les Hauts de Bruyères,"25-05-2023, 11:27:24",140,35
Premium cottage,€289,€479,4 pers.,2 Slaapkamers,Van di. 30 mei. tot do. 1 jun.,94 m²,"Nederland, Drenthe, Emmen",Parc Sandur,"25-05-2023, 11:27:25",190,39
Comfort cottage,€289,€379,6 pers.,3 Slaapkamers,Van di. 20 tot do. 22 jun.,85 m²,"Nederland, Drenthe, Emmen",Parc Sandur,"25-05-2023, 11:27:25",90,23
Premium cottage,€429,€859,6 pers.,3 Slaapkamers,Van ma. 29 mei. tot vr. 2 jun.,95 m²,"Nederland, Drenthe, Emmen",Parc Sandur,"25-05-2023, 11:27:26",430,50
Premium cottage,€589,€979,4 pers.,2 Slaapkamers,Van za. 27 tot ma. 29 mei.,83m²,"Duitsland, Nordseeküste, Butjadingen",Park Nordseeküste,"25-05-2023, 11:27:26",390,39
Premium cottage,€749,€829,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,58 m²,"Duitsland, Nordseeküste, Butjadingen",Park Nordseeküste,"25-05-2023, 11:27:27",80,9
Premium cottage,€799,€1149,6 pers.,3 Slaapkamers,Van za. 27 tot ma. 29 mei.,94m²,"Duitsland, Nordseeküste, Butjadingen",Park Nordseeküste,"25-05-2023, 11:27:28",350,30
Premium cottage,€599,€659,6 pers.,3 Slaapkamers,Van ma. 5 tot do. 8 jun.,67m²,"Duitsland, Nordseeküste, Butjadingen",Park Nordseeküste,"25-05-2023, 11:27:28",60,9
Premium cottage Vernieuwd,€489,€629,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,55 m²,"Duitsland, Lüneburger Heide, Soltau",Bispinger Heide,"25-05-2023, 11:27:29",140,22
Premium Eden cottage Vernieuwd,€529,€559,4 pers.,2 Slaapkamers,Van ma. 5 tot do. 8 jun.,72 m²,"Duitsland, Lüneburger Heide, Soltau",Bispinger Heide,"25-05-2023, 11:27:29",30,5
Rolstoelvriendelijk Premium cottage Vernieuwd,€489,€629,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,60 m²,"Duitsland, Lüneburger Heide, Soltau",Bispinger Heide,"25-05-2023, 11:27:30",140,22
Premium cottage Vernieuwd,€529,€559,6 pers.,3 Slaapkamers,Van di. 30 mei. tot vr. 2 jun.,63 m²,"Duitsland, Lüneburger Heide, Soltau",Bispinger Heide,"25-05-2023, 11:27:31",30,5
VIP cottage,€519,€789,2 pers.,1 Slaapkamer,Van di. 13 tot do. 15 jun.,56 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"25-05-2023, 11:27:31",270,34
Comfort cottage,€429,€569,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,56 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"25-05-2023, 11:27:32",140,24
Premium cottage,€479,€689,4 pers.,2 Slaapkamers,Van vr. 30 jun. tot ma. 3 jul.,60 m²,"Duitsland, Zuid-Duitsland, Leutkirch",Park Allgäu,"25-05-2023, 11:27:32",210,30
